Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2022 [YR2022]
Afghanistan,AFG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,40.6448180105462,43.8014291268551
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,18799444490.1128,14497243872.1337
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.30237251516834,13.7121023720065
Albania,ALB,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,55.2643047805463,66.8235678368119
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15585105131.0644,19017242585.7803
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.466,10.785
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.41109078954251,6.7252027153006
Algeria,DZA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,41.3233431383382,46.3511413740596
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,193459662090.677,225638456572.143
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.95176821052892,9.26551551551553
American Samoa,ASM,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,164.605873261206,116.99196326062
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,647000000,871000000
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..
American Samoa,ASM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..
Andorra,AND,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,..,66.5559850824375
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3155149347.80639,3380612573.32922
Andorra,AND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..
Andorra,AND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..
Angola,AGO,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,69.6691387123407,66.166827106391
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,70897962732.0277,104399746853.401
Angola,AGO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,16.497,14.124
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,17.080954143438,21.3552901320822
Antigua and Barbuda,ATG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,42.8318432096513,45.0813820673901
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1725351851.85185,1867733333.33333
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.43135598182984,7.53107834634288
Argentina,ARG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,25.5139709712499,26.8602508226851
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,447754683615.225,632790070063.124
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.843,6.805
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..
Armenia,ARM,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,59.8709600659714,72.4062585139894
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,13619290539.2116,19513506553.1251
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.794,..
Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.44344660770698,8.64091108973855
Aruba,ABW,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,39.3721785709585,48.2718562099842
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,3395798882.68156,3279343543.60416
